1/3/2023 14:40,Synergym Oviedo,-26.99,Gym
1/4/2023 17:10,Casa Tataguyo,-112.0,Travel
1/5/2023 22:36,Melia Barajas,-89.0,Travel
1/6/2023 21:40,Intermundial Seguros,-200.05,Insurance
1/7/2023 21:00,-Kiwi.com-,-160.0,Other
1/8/2023 9:44,Renfe Virtual Internet,-73.4,Transportation
1/11/2023 16:33,S S P Emirates Llc,-7.35,Travel
1/11/2023 7:17,Global Exchange,-51.03,Travel
1/11/2023 7:26,Aerop Adolfo Suarez M,-11.2,Travel
1/12/2023 12:55,Cash at Connaught Circus,-57.27,ATM
1/12/2023 11:49,Cash at H 22 Tropical Buildin,-30.32,ATM
1/12/2023 8:22,Cash at Ybl Paharganj2,-11.45,ATM
