1/4/2023 4:46,D,Synergym Oviedo,-26.99,Gym
1/5/2023 11:34,D,Casa Tataguyo,-112.0,Other
1/6/2023 11:26,D,Melia Barajas,-89.0,Travel
1/7/2023 11:12,D,Intermundial Seguros,-200.05,Insurance
1/8/2023 4:45,D,-Kiwi.com-,-160.0,
1/9/2023 10:40,D,Renfe Virtual Internet,-73.4,Transportation
1/12/2023 7:53,D,S S P Emirates Llc,-7.35,Travel
1/12/2023 8:28,D,Global Exchange,-51.03,Other
1/12/2023 11:29,D,Aerop Adolfo Suarez M,-11.2,Travel
1/13/2023 4:31,D,Cash at Connaught Circus,-57.27,ATM
1/13/2023 4:31,D,Cash at H 22 Tropical Buildin,-30.32,ATM
1/13/2023 4:31,D,Cash at Ybl Paharganj2,-11.45,ATM
