1/12/2023 17:19,Viator,-79.35,Travel
1/13/2023 10:13,Uber *trip Help.uber.c,-1.14,Transportation
1/13/2023 8:24,Uber * Pending,-1.52,Transportation
1/13/2023 10:00,Cash at Ybl Paharganj2,-56.92,ATM
1/13/2023 5:33,Tata Starbucks Private,-6.55,Coffee Shops
1/14/2023 12:18,Cash at New Delhi Main,-57.34,ATM
1/14/2023 5:53,Afghan Store,-85.73,Groceries
1/14/2023 3:49,Tata Starbucks Private,-3.5,Coffee Shops
1/15/2023 8:17,Cash at Ybl Paharganj2,-57.34,ATM
1/15/2023 12:06,Reebok,-28.89,Clothing
1/14/2023 0:02,Viatortripadvisor Uk,-49.92,Travel
1/15/2023 12:55,Twenty Four Seven,-11.3,Groceries
1/16/2023 10:47,Cash at Ybl Paharganj2,-56.85,ATM
