1/13/2023 12:06,D,Viator,-79.35,Travel
1/13/2023 15:26,D,Uber *trip Help.uber.c,-1.14,Transportation
1/13/2023 15:26,D,Uber * Pending,-1.52,Transportation
1/14/2023 4:34,D,Cash at Ybl Paharganj2,-56.92,ATM
1/14/2023 4:34,D,Tata Starbucks Private,-6.55,Coffee Shops
1/15/2023 4:29,D,Cash at New Delhi Main,-57.34,ATM
1/15/2023 4:30,D,Afghan Store,-85.73,Groceries
1/15/2023 4:30,D,Tata Starbucks Private,-3.5,Coffee Shops
1/16/2023 4:34,D,Cash at Ybl Paharganj2,-57.34,ATM
1/16/2023 4:34,D,Reebok,-28.89,Clothing
1/16/2023 11:20,D,Viatortripadvisor Uk,-49.92,Travel
1/17/2023 2:47,D,Twenty Four Seven,-11.3,Groceries
1/17/2023 4:31,D,Cash at Ybl Paharganj2,-56.85,ATM
